Filename	IsInterpolated	MeasCount	Longitude	UmtsAsnVersion1.0.0Latitude	SecCode	BroadcastCode	CenterFreq	Date	Time	ScannerID	HGT_AGL	SignalLevels
\das_output_NOT_encrypted.dmm	False	25	-78.7857819	42.7738648	Code_11_1960	11	1960	7/15/2014	16:15:08	1064172917639	10001	0	6SeLnM33HEZejUB/8T0TEw==
\das_output_NOT_encrypted.dmm	False	25	-78.7857819	42.7738648	Code_192_1960	192	1960	7/15/2014	16:15:08	1064175142049	10001	0	RVnCqmquM5tfu5CfLT9qog==
\das_output_NOT_encrypted.dmm	False	26	-78.7857819	42.7738648	Code_15_1960	15	1960	7/15/2014	16:15:08	1064168323793	10001	0	+F8WTNDALnKXE27XfcOX1A==
\das_output_NOT_encrypted.dmm	False	25	-78.7857819	42.7738648	Code_54_1960	54	1960	7/15/2014	16:15:08	1064161321741	10001	0	GWF+CIi2/bDEgWdVI0pTzQ==
\das_output_NOT_encrypted.dmm	False	25	-78.7857819	42.7738648	Code_70_1960	70	1960	7/15/2014	16:15:08	1064167299382	10001	0	K5P5VUBrCvzn3pGTR6vK9g==
\das_output_NOT_encrypted.dmm	False	25	-78.7857819	42.7738648	Code_19_1960	19	1960	7/15/2014	16:15:08	1064169124203	10001	0	WtVqsXbAfrsVy/2/qdz5Dg==
\das_output_NOT_encrypted.dmm	False	27	-78.7857819	42.7738648	Code_99999_1960	99999	1960	7/15/2014	16:15:08	1064105075588	10001	0	ECH9p+9U/lD9Fy03bzY6vQ==
\das_output_NOT_encrypted.dmm	False	28	-78.7857819	42.7738648	Code_40_1960	40	1960	7/15/2014	16:15:08	1064141152100	10001	0	QLq32sO9zayf9HYwtN0ZXg==
\das_output_NOT_encrypted.dmm	False	28	-78.7857819	42.7738648	Code_107_1960	107	1960	7/15/2014	16:15:08	1064141876408	10001	0	/ifvnvKJu4m6Qx6r5yud4w==
\das_output_NOT_encrypted.dmm	False	28	-78.7857819	42.7738648	Code_33_1960	33	1960	7/15/2014	16:15:08	1064144231280	10001	0	ldgrS8ySeTtehoVj0CXNfQ==
\das_output_NOT_encrypted.dmm	False	28	-78.7857819	42.7738648	Code_106_1960	106	1960	7/15/2014	16:15:08	1064113196818	10001	0	ct8OgFcsbv/+OYIMXv8KZw==
\das_output_NOT_encrypted.dmm	False	28	-78.7857819	42.7738648	Code_254_1960	254	1960	7/15/2014	16:15:08	1064113874767	10001	0	L+YdcB3xIWkU1SOcwbEGNg==
\das_output_NOT_encrypted.dmm	False	28	-78.7857819	42.7738648	Code_112_1960	112	1960	7/15/2014	16:15:08	1064137400100	10001	0	F9dYK0zBcGvcPUqDfS66+A==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_63_1960	63	1960	7/15/2014	16:15:08	1064133290562	10001	0	7+s+B2//a/zduRwKh9kU1Q==
\das_output_NOT_encrypted.dmm	False	32	-78.7857819	42.7738648	Code_254_1960	254	1960	7/15/2014	16:15:08	1064111902254	10001	0	dj4iYTf095NQsFJBDMMNyw==
\das_output_NOT_encrypted.dmm	False	32	-78.7857819	42.7738648	Code_112_1960	112	1960	7/15/2014	16:15:08	1064135428818	10001	0	9LCfsMB5w+uwQBeRnR/Wbg==
\das_output_NOT_encrypted.dmm	False	32	-78.7857819	42.7738648	Code_40_1960	40	1960	7/15/2014	16:15:08	1064139181023	10001	0	6erFMMPxDPTNGFUdF+3lbg==
\das_output_NOT_encrypted.dmm	False	30	-78.7857819	42.7738648	Code_15_1960	15	1960	7/15/2014	16:15:08	1064138079280	10001	0	gSkCWgt2il7tylkFZS4ibQ==
\das_output_NOT_encrypted.dmm	False	31	-78.7857819	42.7738648	Code_99999_1960	99999	1960	7/15/2014	16:15:08	1064105075588	10001	0	ECH9p+9U/lD9Fy03bzY6vQ==
\das_output_NOT_encrypted.dmm	False	32	-78.7857819	42.7738648	Code_36_1960	36	1960	7/15/2014	16:15:08	1064110634562	10001	0	VsLYlGrjb2TmmoBpiyiwFQ==
\das_output_NOT_encrypted.dmm	False	32	-78.7857819	42.7738648	Code_107_1960	107	1960	7/15/2014	16:15:08	1064139905331	10001	0	Ft/Gschwxcq1+3xAksxKhg==
\das_output_NOT_encrypted.dmm	False	32	-78.7857819	42.7738648	Code_106_1960	106	1960	7/15/2014	16:15:08	1064152609331	10001	0	3m0OBsRy02Moz8CUVaAEKA==
\das_output_NOT_encrypted.dmm	False	32	-78.7857819	42.7738648	Code_47_1960	47	1960	7/15/2014	16:15:08	1064166492203	10001	0	fGPNMstsAEqS8Uy4Rz+M7A==
\das_output_NOT_encrypted.dmm	False	33	-78.7857819	42.7738648	Code_70_1960	70	1960	7/15/2014	16:15:08	1064107611382	10001	0	0xAbQeRo8YRZXRvUanCYeg==
\das_output_NOT_encrypted.dmm	False	32	-78.7857819	42.7738648	Code_33_1960	33	1960	7/15/2014	16:15:08	1064142259382	10001	0	h+bXtr77tlH6CP0R8m9hMA==
\das_output_NOT_encrypted.dmm	False	32	-78.7857819	42.7738648	Code_62_1960	62	1960	7/15/2014	16:15:08	1064143232921	10001	0	anhOQow9cqWHosTyrgvANg==
\das_output_NOT_encrypted.dmm	False	32	-78.7857819	42.7738648	Code_255_1960	255	1960	7/15/2014	16:15:08	1064149669639	10001	0	cY1LHU+81VaNqGQgfdM5LQ==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_14_1960	14	1960	7/15/2014	16:15:08	1064149761536	10001	0	yvg2V3OtLSSS6eFvNdq78g==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_70_1960	70	1960	7/15/2014	16:15:08	1064153082972	10001	0	CKD58BAWC8i2wPcLaCxCnw==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_255_1960	255	1960	7/15/2014	16:15:08	1064154097126	10001	0	pfGTnxPW0cSC3EEUi/rvOg==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_112_1960	112	1960	7/15/2014	16:15:08	1064139856100	10001	0	GTlyh0kuNJBEC5yIs2vpnA==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_40_1960	40	1960	7/15/2014	16:15:08	1064143607895	10001	0	i08lgEAEXNNgBI33IRfEXQ==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_107_1960	107	1960	7/15/2014	16:15:08	1064144331998	10001	0	6RfhChsYNM/70MFecdO74w==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_61_1960	61	1960	7/15/2014	16:15:08	1064155195382	10001	0	y9BeqZ4qo0peifOXi4CVkg==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_19_1960	19	1960	7/15/2014	16:15:08	1064165916613	10001	0	kCOwcnO3c598Gigw+8FmUw==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_54_1960	54	1960	7/15/2014	16:15:08	1064168135895	10001	0	0r9nRlWii6q0Vzcrj5aW/g==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_50_1960	50	1960	7/15/2014	16:15:08	1064174697536	10001	0	dYCYC50ALJz8cqnBjsom1w==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_11_1960	11	1960	7/15/2014	16:15:08	1064156288921	10001	0	Hz53HkuhyBdidNGHfX8qFA==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_254_1960	254	1960	7/15/2014	16:15:08	1064157716203	10001	0	FAefnIzZgxDXv1mMppEteA==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_35_1960	35	1960	7/15/2014	16:15:08	1064160717639	10001	0	ZHWeWdqhXonBfas7rF3VuA==
\das_output_NOT_encrypted.dmm	False	46	-78.7857819	42.7738648	Code_99999_1960	99999	1960	7/15/2014	16:15:08	1064105075588	10001	0	ECH9p+9U/lD9Fy03bzY6vQ==
\das_output_NOT_encrypted.dmm	False	47	-78.7857819	42.7738648	Code_99999_1960	99999	1960	7/15/2014	16:15:08	1064105075588	10001	0	ECH9p+9U/lD9Fy03bzY6vQ==
\das_output_NOT_encrypted.dmm	False	48	-78.7857819	42.7738648	Code_36_1960	36	1960	7/15/2014	16:15:08	1064109408305	10001	0	DCc/o0HdwcRjQr0JATW/kg==
\das_output_NOT_encrypted.dmm	False	45	-78.7857819	42.7738648	Code_11_1960	11	1960	7/15/2014	16:15:08	1064167839690	10001	0	m0AdpHIr6Vj3DyBVQJOgVA==
\das_output_NOT_encrypted.dmm	False	45	-78.7857819	42.7738648	Code_254_1960	254	1960	7/15/2014	16:15:08	1064170817331	10001	0	RQKrUbB/R6RFfCgjXcZPTQ==
\das_output_NOT_encrypted.dmm	False	45	-78.7857819	42.7738648	Code_50_1960	50	1960	7/15/2014	16:15:08	1064173376100	10001	0	QHZZbBZQGorWbm8FyC3Kpg==
\das_output_NOT_encrypted.dmm	False	48	-78.7857819	42.7738648	Code_106_1960	106	1960	7/15/2014	16:15:08	1064109989434	10001	0	17+vuZbbN9XfMSGiH66aOw==
\das_output_NOT_encrypted.dmm	False	48	-78.7857819	42.7738648	Code_107_1960	107	1960	7/15/2014	16:15:08	1064138681946	10001	0	xCwTGjfaOYf8DphKPdahiQ==
\das_output_NOT_encrypted.dmm	False	48	-78.7857819	42.7738648	Code_33_1960	33	1960	7/15/2014	16:15:08	1064141031690	10001	0	MKNqihMVq6DCIXPrF6WUhg==
\das_output_NOT_encrypted.dmm	False	48	-78.7857819	42.7738648	Code_62_1960	62	1960	7/15/2014	16:15:08	1064142009741	10001	0	pgV+9rZtntiqAQSSo48Cvw==
\das_output_NOT_encrypted.dmm	False	48	-78.7857819	42.7738648	Code_254_1960	254	1960	7/15/2014	16:15:08	1064110672305	10001	0	s1qau76ixTgvHAZdYn3z1A==
\das_output_NOT_encrypted.dmm	False	48	-78.7857819	42.7738648	Code_47_1960	47	1960	7/15/2014	16:15:08	1064123881946	10001	0	ZUsL1hhIuD7NqsD3uT0qBQ==
\das_output_NOT_encrypted.dmm	False	48	-78.7857819	42.7738648	Code_40_1960	40	1960	7/15/2014	16:15:08	1064137958049	10001	0	VRCG9RsLyb1OJGg34COIZw==
\das_output_NOT_encrypted.dmm	False	45	-78.7857819	42.7738648	Code_35_1960	35	1960	7/15/2014	16:15:08	1064133146562	10001	0	+If3PGoq8ipOGzXoESXfRQ==
